generated_at,window_seconds,trade_count,average_price,weighted_average_price,min_price,max_price,price_range,price_std,total_volume,percentage_change,ath_price,ath_time,atl_price,atl_time,largest_trade_quantity,largest_trade_value,largest_price_move,fear_greed_value,fear_greed_classification,fear_greed_timestamp
2026-06-11T10:48:22,60,1,62960.0,62960.0,62960.0,62960.0,0.0,0.0,0.00012,0.0,62960.0,2026-06-11T10:48:20,62960.0,2026-06-11T10:48:20,0.00012,7.5552,,12,Extreme Fear,2026-06-11T02:00:00
2026-06-11T10:48:25,60,477,62977.03412997904,62977.7781287099,62960.0,62995.95,35.94999999999709,11.982356768138347,11.509120000000033,0.05390724269377752,62995.95,2026-06-11T10:48:21,62960.0,2026-06-11T10:48:20,1.20173,75678.8025424,-2.0099999999947613,12,Extreme Fear,2026-06-11T02:00:00
2026-06-11T10:48:30,60,502,62977.876374502,62977.79603058684,62960.0,62995.95,35.94999999999709,12.245877800743353,11.52188000000003,0.053923125794150394,62995.95,2026-06-11T10:48:21,62960.0,2026-06-11T10:48:20,1.20173,75678.8025424,-2.0099999999947613,12,Extreme Fear,2026-06-11T02:00:00
2026-06-11T10:48:35,60,1282,62990.26301092043,62981.57848508572,62960.0,63000.0,40.0,12.655374653759472,14.23210000000013,0.06353240152477764,63000.0,2026-06-11T10:48:35,62960.0,2026-06-11T10:48:20,1.20173,75678.8025424,-2.0099999999947613,12,Extreme Fear,2026-06-11T02:00:00
2026-06-11T10:48:40,60,1347,62990.732835931696,62981.98271813886,62960.0,63000.0,40.0,12.521325089999504,14.551460000000136,0.06353240152477764,63000.0,2026-06-11T10:48:35,62960.0,2026-06-11T10:48:20,1.20173,75678.8025424,-2.0099999999947613,12,Extreme Fear,2026-06-11T02:00:00
2026-06-11T10:48:46,60,4188,63014.01652101242,63008.68578188814,62960.0,63050.0,90.0,22.511524812456397,58.55429999999842,0.1048284625158831,63050.0,2026-06-11T10:48:42,62960.0,2026-06-11T10:48:20,3.20449,201882.87,2.290000000000873,12,Extreme Fear,2026-06-11T02:00:00
2026-06-11T10:48:51,60,4334,63014.40753576373,63009.02536838695,62960.0,63050.0,90.0,22.22835544640805,59.72691999999836,0.10165184243964422,63050.0,2026-06-11T10:48:42,62960.0,2026-06-11T10:48:20,3.20449,201882.87,2.290000000000873,12,Extreme Fear,2026-06-11T02:00:00
2026-06-11T10:48:57,60,4737,63014.82256702554,63009.084275964,62960.0,63050.0,90.0,21.314897817855904,60.05109999999817,0.08894536213468869,63050.0,2026-06-11T10:48:42,62960.0,2026-06-11T10:48:20,3.20449,201882.87,2.290000000000873,12,Extreme Fear,2026-06-11T02:00:00
